PRES,Date/Time,Exact Time [ns]
"104,106,105,103,104,105",2025-05-02 16:37:48.958540,4897711904208
"105,105,105,102,104,104",2025-05-02 16:37:49.959339,4898712702023
"105,107,106,100,104,105",2025-05-02 16:37:50.959817,4899713180615
"105,106,106,102,104,106",2025-05-02 16:37:51.960415,4900713779095
"105,105,104,102,104,104",2025-05-02 16:37:52.960931,4901714294928
"105,107,105,103,104,105",2025-05-02 16:37:53.961753,4902715116687
"105,107,104,103,104,105",2025-05-02 16:37:54.962281,4903715645464
"105,107,105,102,104,105",2025-05-02 16:37:55.963115,4904716479315
"106,107,105,103,104,105",2025-05-02 16:37:56.963728,4905717092648
"105,105,106,104,104,105",2025-05-02 16:37:57.964369,4906717732166
